uri,name,valence,energy,speechiness,acousticness,instrumentalness,
spotify:track:1NtMwloRp8OIVwWGipngkw,Brush Your Teeth,0.49,0.216,0.934,0.511,5.39E-05,
spotify:track:6kSnuyROv8ITvEWk0Esohf,Pillowtalk (Explicit),0.292,0.416,0.029,0.0109,1.60E-05,
spotify:track:38eLWV1zYgZqDDFzATmBhU,7th Dimension,0.236,0.392,0.255,0.328,0.301,
spotify:track:2d5vz9uU5Jan1rX8mkxw2w,Manhattan,0.402,0.802,0.0404,0.0154,0.000219,
spotify:track:0cICRgMJaTogLQPGbwifSC,Lighthouse,0.254,0.943,0.142,0.000131,0,
spotify:track:4TF1C2BP3ZTWWGWjvJX2Ng,Minuit Jacuzzi - DatA Remix,0.521,0.878,0.157,0.000383,0.949,
spotify:track:0EWh3tG6acqbt3tQOcP7hi,Gucci Gucci,0.901,0.924,0.0681,0.163,1.77E-05,
spotify:track:6moSOpDt0m7rqdbjfT1mbu,M79,0.948,0.602,0.0397,0.14,0.00422,
spotify:track:7xyTwfEZREkNAajaaAAZRN,Aqua Vitae,0.0344,0.788,0.0574,0.0444,0.919,
spotify:track:3d90ERLBxR3o44o4r9hWTl,Coachella - Woodstock In My Mind,0.418,0.654,0.111,0.196,1.78E-05,
spotify:track:4wU4XL8nX0we6MXgmFAmnh,Tell That Devil,0.497,0.76,0.0627,0.198,0,
spotify:track:2EPbvVyo2qrrmeiEm57Cfl,Don't Judge Me (feat. Future & Swae Lee),0.393,0.909,0.074,0.00354,0,
spotify:track:5GCHIX55yivJxUZwn5eSqw,Runnin',0.373,0.643,0.052,0.0231,2.07E-06,
spotify:track:14IoqgWs4gtor11ANRRc1r,Drunken Soldier,0.299,0.376,0.0355,0.631,0.0609,
spotify:track:6oBWomqWwisfkdCeCZYD7V,Somebody Like You,0.639,0.854,0.0337,0.1,0.000288,
spotify:track:2pONuBYwWrNm9jcJH6hmPc,Sleep,0.152,0.952,0.201,0.00138,0.000856,
spotify:track:5pMXRZyrVPBX5KSxmvTxIn,"As time goes by [From ""Reply 1988 (Original Television Soundtrack)% Pt. 9""]",0.191,0.594,0.0319,0.538,0,
spotify:track:5UNYRD00bMxVGnD7WW1ToQ,17,0.464,0.649,0.0273,0.0054,2.47E-06,
spotify:track:0NemJwYbBRsYs744NvweGx,,0.969,0.629,0.0503,0.788,5.89E-06,
